date,season,weather,type,amount,meal_id,name
2024-01-01,sp,R,seafood,31,,
2024-01-02,sp,R,beef,25,,
2024-01-03,sp,S,spicy,24,,
2024-01-04,sp,S,beef,34,,
2024-01-05,sp,R,vegetarian,23,,
2024-01-06,sp,C,seafood,48,,
2024-01-07,sp,C,spicy,41,,
2024-01-08,sp,S,beef,33,,
2024-01-09,sp,C,spicy,23,,
2024-01-10,sp,R,vegetarian,27,,
2024-01-11,sp,C,seafood,32,,
2024-01-12,sp,C,soup,16,,
2024-01-13,sp,S,beef,40,,
2024-01-14,sp,C,soup,31,,
2024-01-15,sp,C,beef,26,,
2024-01-16,sp,S,seafood,27,,
2024-01-17,sp,C,seafood,30,,
2024-01-18,sp,R,vegetarian,21,,
2024-01-19,sp,S,beef,32,,
2024-01-20,sp,C,seafood,64,,
2024-01-21,sp,C,spicy,51,,
2024-01-22,sp,R,seafood,26,,
2024-01-23,sp,S,spicy,29,,
2024-01-24,sp,R,soup,18,,
2024-01-25,sp,S,vegetarian,25,,
2024-01-26,sp,S,beef,27,,
2024-01-27,sp,C,seafood,60,,
2024-01-28,sp,C,beef,58,,
2024-01-29,sp,R,vegetarian,20,,
2024-01-30,sp,S,soup,15,,
2024-01-31,sp,S,spicy,29,,
2024-02-01,sp,S,beef,34,,
2024-02-02,sp,R,vegetarian,22,,
2024-02-03,sp,C,seafood,66,,
2024-02-04,sp,C,spicy,56,,
2024-02-05,sp,S,beef,33,,
2024-02-06,sp,C,spicy,23,,
2024-02-07,sp,R,vegetarian,27,,
2024-02-08,sp,C,seafood,32,,
2024-02-09,sp,C,soup,16,,
2024-02-10,sp,S,beef,56,,
2024-02-11,sp,C,soup,38,,
2024-02-12,sp,C,beef,26,,
2024-02-13,sp,S,seafood,27,,
2024-02-14,sp,C,seafood,30,,
2024-02-15,sp,R,vegetarian,21,,
2024-02-16,sp,S,beef,32,,
2024-02-17,sp,C,seafood,67,,
2024-02-18,sp,C,spicy,52,,
2024-02-19,sp,R,seafood,26,,
2024-02-20,sp,S,spicy,29,,
2024-02-21,sp,R,soup,18,,
2024-02-22,sp,S,vegetarian,25,,
2024-02-23,sp,S,beef,27,,
2024-02-24,sp,C,seafood,66,,
2024-02-25,sp,C,beef,65,,
2024-02-26,sp,R,vegetarian,20,,
2024-02-27,sp,S,soup,15,,
2024-02-28,sp,S,spicy,29,,
2024-02-29,sp,S,beef,34,,
2024-03-01,sp,R,vegetarian,22,,
2024-03-02,sp,C,seafood,64,,
2024-03-03,sp,C,spicy,59,,
2024-03-04,sp,S,beef,33,,
2024-03-05,sp,C,spicy,23,,
2024-03-06,sp,R,vegetarian,27,,
2024-03-07,sp,C,seafood,32,,
2024-03-08,sp,C,soup,16,,
2024-03-09,sp,S,beef,58,,
2024-03-10,sp,C,soup,45,,
2024-03-11,sp,C,beef,26,,
2024-03-12,sp,S,seafood,27,,
2024-03-13,sp,C,seafood,30,,
2024-03-14,sp,R,vegetarian,21,,
2024-03-15,sp,S,beef,32,,
2024-03-16,sp,C,seafood,69,,
2024-03-17,sp,C,spicy,54,,
2024-03-18,sp,R,seafood,26,,
2024-03-19,sp,S,spicy,29,,
2024-03-20,sp,R,soup,18,,
2024-03-21,sp,S,vegetarian,25,,
2024-03-22,sp,S,beef,27,,
2024-03-23,sp,C,seafood,61,,
2024-03-24,sp,C,beef,60,,
2024-03-25,sp,R,vegetarian,20,,
2024-03-26,sp,S,soup,15,,
2024-03-27,sp,S,spicy,29,,
2024-03-28,sp,S,beef,34,,
2024-03-29,sp,R,vegetarian,22,,
2024-03-30,sp,C,seafood,62,,
2024-03-31,sp,C,spicy,53,,
2024-04-01,sp,S,beef,33,,
2024-04-02,sp,C,spicy,23,,
2024-04-03,sp,R,vegetarian,27,,
2024-04-04,sp,C,seafood,32,,
2024-04-05,sp,C,soup,16,,
2024-04-06,sp,S,beef,50,,
2024-04-07,sp,C,soup,45,,
2024-04-08,sp,C,beef,26,,
2024-04-09,sp,S,seafood,27,,
2024-04-10,sp,C,seafood,30,,
2024-04-11,sp,R,vegetarian,21,,
2024-04-12,sp,S,beef,32,,
2024-04-13,sp,C,seafood,63,,
2024-04-14,sp,C,spicy,61,,
2024-04-15,sp,R,seafood,26,,
2024-04-16,sp,S,spicy,29,,
2024-04-17,sp,R,soup,18,,
2024-04-18,sp,S,vegetarian,25,,
2024-04-19,sp,S,beef,27,,
2024-04-20,sp,C,seafood,68,,
2024-04-21,sp,C,beef,66,,
2024-04-22,sp,R,vegetarian,20,,
2024-04-23,sp,S,soup,15,,
2024-04-24,sp,S,spicy,29,,
2024-04-25,sp,S,beef,34,,
2024-04-26,sp,R,vegetarian,22,,
2024-04-27,sp,C,seafood,60,,
2024-04-28,sp,C,spicy,57,,
2024-04-29,sp,S,beef,33,,
2024-04-30,sp,C,spicy,23,,
2024-05-01,su,R,vegetarian,27,,
2024-05-02,su,C,seafood,32,,
2024-05-03,su,C,soup,16,,
2024-05-04,su,S,beef,62,,
2024-05-05,su,C,soup,42,,
2024-05-06,su,C,beef,26,,
2024-05-07,su,S,seafood,27,,
2024-05-08,su,C,seafood,30,,
2024-05-09,su,R,vegetarian,21,,
2024-05-10,su,S,beef,32,,
2024-05-11,su,C,seafood,66,,
2024-05-12,su,C,spicy,52,,
2024-05-13,su,R,seafood,26,,
2024-05-14,su,S,spicy,29,,
2024-05-15,su,R,soup,18,,
2024-05-16,su,S,vegetarian,25,,
2024-05-17,su,S,beef,27,,
2024-05-18,su,C,seafood,60,,
2024-05-19,su,C,beef,66,,
2024-05-20,su,R,vegetarian,20,,
2024-05-21,su,S,soup,15,,
2024-05-22,su,S,spicy,29,,
2024-05-23,su,S,beef,34,,
2024-05-24,su,R,vegetarian,22,,
2024-05-25,su,C,seafood,68,,
2024-05-26,su,C,spicy,57,,
2024-05-27,su,S,beef,33,,
2024-05-28,su,C,spicy,23,,
2024-05-29,su,R,vegetarian,27,,
2024-05-30,su,C,seafood,32,,
2024-05-31,su,C,soup,16,,
2024-06-01,su,S,beef,52,,
2024-06-02,su,C,soup,48,,
2024-06-03,su,C,beef,26,,
2024-06-04,su,S,seafood,27,,
2024-06-05,su,C,seafood,30,,
2024-06-06,su,R,vegetarian,21,,
2024-06-07,su,S,beef,32,,
2024-06-08,su,C,seafood,57,,
2024-06-09,su,C,spicy,61,,
2024-06-10,su,R,seafood,26,,
2024-06-11,su,S,spicy,29,,
2024-06-12,su,R,soup,18,,
